Time,hr,Xacc,Zacc,Yacc,Xg,Zg,Yg
4.68,,3.806780577,-13.1401453,-3.138798237,0.344255537,1.5540241,0.019581743
4.7,,1.776497722,-13.85840607,-2.57376647,2.810065269,1.981842518,-0.108125269
4.72,,3.169923067,-12.28302097,-1.338358402,3.871097565,2.665075064,-0.07300584
4.74,,6.789956093,-8.481028557,-1.764526248,4.262732029,2.732121229,0.653859913
4.76,,5.554547787,-7.078026295,-3.224989414,3.874290228,2.377734184,1.399881721
4.78,,4.472368717,-6.412437916,-4.173092842,3.607169867,2.279825449,1.174265981
4.8,,3.888183832,-6.0916152,-2.885012865,3.019717455,2.313880682,1.130632758
4.82,,2.52348876,-7.087603092,-0.730231166,1.636224747,2.17765975,1.446707606
4.84,,3.648763418,-8.926350594,-0.002393845,0.545394123,2.222357273,1.458414078
4.86,,4.242525101,-10.62144566,0.715866625,0.056914758,1.916924834,1.562708139
4.88,,4.01747036,-11.91910267,1.534683704,0.192071348,1.575308561,1.42967999
4.9,,5.942408562,-11.17211151,1.889025569,0.639045894,1.548702955,1.216835022
4.92,,8.413225174,-12.776227,3.632004261,1.156259298,1.56360209,1.160431027
4.94,,3.830723047,-16.37710571,1.343147516,-1.06797123,-0.245580584,0.047251593
4.96,,1.455674648,-15.38111782,4.062960625,-0.776373446,-1.061841249,-0.162400737
4.98,,0.057460845,-12.35005856,4.37420702,1.61919713,-0.233874112,0.242004797
5,98,-0.067037642,-9.711648941,3.239355087,2.670651674,0.781396627,0.577235699
5.02,,0.9672575,-9.199289322,3.138798714,2.712156534,0.961250663,1.094449043
5.04,,2.389413357,-9.419555664,4.14436388,1.949106932,0.633469343,1.284945369
5.06,,2.513911963,-10.18091202,5.006276131,1.094534159,-0.120002024,1.458414078
5.08,,1.403002143,-11.28703308,3.15316391,1.228626609,-0.787271142,1.806415677
5.1,,1.173158765,-11.34928226,2.870648146,2.12364006,-0.993730843,2.055444241
5.12,,0.138863713,-8.026130676,2.813187361,2.54400897,-1.08312571,1.892617941
5.14,,0.574608445,-3.616010904,2.138022423,1.645802736,-0.842610836,1.568029284
5.16,,0.67037642,-2.241739035,1.405396819,0.185686007,-0.511636853,1.654231548
5.18,,0.794874907,-4.674247742,2.099715233,-0.998796523,-0.412663937,1.959664106
5.2,,0.52193594,-7.743614197,2.688688755,-1.46811986,-0.447783351,2.05437994
5.22,,-0.239420176,-9.563207626,2.056619644,-1.469184041,-0.513765335,1.919223547
5.24,,-1.556231141,-10.40117836,2.300828218,-1.385110259,-0.63189429,1.708506942
5.26,,-2.485181332,-10.46342754,2.545036793,-1.190357089,-0.76492244,1.26578939
5.28,,-1.422155857,-10.14260483,2.33434701,-0.855126143,-0.70319736,0.748575926
5.3,,-0.239420176,-9.960645676,2.449268579,-0.591198325,-0.586132646,0.347363085
5.32,,-0.665588081,-10.59750366,2.535459995,-0.373032182,-0.568040788,0.182408184
5.34,,-1.527500749,-11.17689991,3.37343049,-0.02396635,-0.541435182,0.036609344
5.36,,-1.417367458,-10.71721363,3.392584085,0.354897767,-0.458425611,-0.163464963
5.38,,-0.311246216,-9.505746841,2.70784235,0.63478899,-0.361581117,-0.363539279
5.4,,0.44532153,-8.61989212,2.63122797,0.549651027,-0.244516358,-0.56042093
5.42,,0.67037642,-7.781921387,2.688688755,0.222933874,-0.122130468,-0.742403448
5.44,,1.465251446,-7.801074982,3.066972733,-0.139966875,-0.031671338,-0.838183701
5.46,,2.054225206,-8.591161728,4.575319767,-0.550757766,-0.019964863,-0.796678901
5.48,,2.791639328,-11.27745628,6.519411564,-0.906208932,-0.193433553,-0.537007987
5.5,,4.702211857,-20.65315056,12.28464985,1.241397262,-0.786206961,0.456978261
5.52,,-1.316810966,-28.04644585,3.627215862,3.821079016,-0.9288131,0.68152976
5.54,,-1.019929886,-20.81116676,0.806846321,6.869019508,-1.306612968,-0.211355105
5.56,,1.470039845,-14.4761095,-0.026335862,6.265604019,-0.217910737,-0.292236209
5.58,,-2.035071373,-10.95663357,-0.10295032,4.525595665,0.935709298,-0.632788241
5.6,,-2.370259523,-11.61264515,1.25216794,0.693321407,1.987163663,-0.962698042
5.62,,-0.244208574,-12.15373421,0.854730368,-0.86257571,3.513262272,-0.750917196
5.64,,2.178723574,-19.83912086,-3.440467596,1.591527343,5.313931465,-1.55440712
5.66,,13.1345911,1.483638883,2.674323559,2.733440876,3.368527651,-2.982597351
5.68,,8.403648376,37.88986969,10.532094,0.099483758,0.037503295,-2.562228441
5.7,,5.94719696,8.685397148,6.78756237,-4.298958778,0.276953936,-2.415365458
5.72,,4.812345505,-20.26050186,4.268862247,-2.848419666,0.471707135,-2.439842463
5.74,,-3.251325846,-20.28923225,1.893813968,-0.394316703,-1.73868835,-1.820463419
5.76,,-2.877830267,-6.225690365,3.742137432,0.094162643,-1.023529172,-2.574999094
5.78,,16.34760857,-3.951199055,16.91503525,-1.452156425,0.413174748,-2.115253925
5.8,,9.404424667,-10.59271526,14.53519917,-3.841341734,0.209907755,-0.272015929
5.82,,7.168239594,-8.246397018,11.56160069,-3.256017923,-1.357695818,0.478262752
5.84,,5.300762653,-9.347729683,6.648698807,-1.219091177,-1.430063128,0.700685799
5.86,,3.902549028,-10.11387444,4.493916988,0.321906805,-1.949404955,0.60916245
5.88,,3.026271105,-9.381248474,6.069301605,2.152374029,-3.138144493,0.605969787
5.9,,3.078943491,-3.280822515,7.735666275,2.919680357,-3.876716852,0.550630093
5.92,,3.050213099,1.402236104,7.481880665,1.898024082,-4.490774155,0.633639634
5.94,,6.933608055,-1.542631984,6.519411564,0.437907338,-4.64083004,0.733676791
5.96,,11.46343803,-5.952751637,5.360618114,-0.219783768,-4.485453129,0.866704941
5.98,,11.76510715,-8.035707474,4.829105377,-0.579491854,-4.417342663,0.603841305
6,96.28571429,9.562441826,-6.307093143,6.658275604,-0.731676042,-4.476939678,0.147288755
6.02,,8.815450668,-5.679812431,6.912060738,-0.912594259,-4.74512434,0.211142272
6.04,,11.75074196,-8.030919075,6.002264023,-0.701877713,-4.872831345,0.552758515
