Time,Xacc,hr,Zacc,Yacc,Xg,Zg,Yg
3,9.653421402,89.6,1.828404069,-0.079008296,-0.103783235,-0.060235143,0.187559038
3.02,9.873687744,,1.593772173,-0.074219897,-0.045250852,-0.067684717,0.278018177
3.04,10.18493462,,1.244218707,0.074220613,0.148438126,-0.103868373,0.246091425
3.06,9.940725327,,0.990433335,0.169988677,0.386824518,-0.087904997,0.196072832
3.08,9.591172218,,1.541099787,0.260968357,0.494311273,-0.025115712,0.238641843
3.1,9.481039047,,2.039093494,0.323217601,0.519852698,0.035545118,0.236513391
3.12,9.385271072,,2.082189322,0.328005999,0.44003579,0.084499471,0.215228885
3.14,9.605537415,,1.97684443,0.079009011,0.385760307,0.112169325,0.174788326
3.16,9.758766174,,1.617714286,0.031124976,0.476219445,0.123875804,0.11199905
3.18,9.62469101,,1.866711259,0.169988677,0.546458304,0.117490448,0.055595122
3.2,9.600749016,,2.177957296,0.079009011,0.513467371,0.083435245,-0.018900638
3.22,9.495404243,,2.436531067,-0.040701073,0.381503403,0.09088482,-0.049763165
3.24,9.260772705,,2.297667503,0.146046653,0.1941998,0.09620595,-0.021029089
3.26,9.2799263,,2.110919714,-0.026335862,0.03882293,0.068536095,-0.032735564
3.28,9.54807663,,1.928960443,-0.141257539,-0.077177599,0.047251593,-0.044442039
3.3,9.682151794,,1.541099787,-0.184353173,-0.10910435,0.044058919,-0.013579513
3.32,9.715670586,,1.215488315,-0.126892328,0.001575054,0.05257272,-0.004001487
3.34,9.667786598,,1.119720221,-0.026335862,0.186750218,0.045123145,-0.012515288
3.36,9.581595421,,1.646444678,-0.098161913,0.295301169,0.020645967,-0.014643738
3.38,9.538499832,,2.024728298,-0.179564774,0.27614513,-0.000638535,0.006640764
3.4,9.816226959,,1.699117064,-0.088585109,0.221869648,0.010003716,0.008769213
3.42,9.639056206,,1.651233077,-0.03591267,0.159080371,0.034480892,0.030053716
3.44,9.47146225,,1.93853724,0.088585809,0.134603187,0.035545118,0.076879621
3.46,9.294291496,,1.890653253,0.169988677,0.1473739,0.011067941,0.087521873
3.48,9.447520256,,2.115708113,0.146046653,0.152695015,0.014260616,0.087521873
3.5,9.342175484,,2.077400923,0.069432199,0.113318697,0.048315819,0.09177877
3.52,9.466673851,,1.933748841,0.021548171,0.05478631,0.05257272,0.086457647
3.54,9.576807022,,1.943325639,-0.050277881,-0.011195648,0.041930467,0.087521873
3.56,9.457097054,,1.909806848,0.045490187,-0.02396635,0.05257272,0.122641295
3.58,9.591172218,,1.837980866,-0.011970652,-0.029287476,0.039802019,0.144990027
3.6,9.270349503,,1.646444678,-0.098161913,0.001575054,0.038737793,0.146054253
3.62,9.43315506,,1.493215799,-0.050277881,0.028180681,0.003618365,0.131155103
3.64,9.605537415,,1.488427281,-0.217872009,0.037758708,-0.000638535,0.105613701
3.66,9.605537415,,1.64165628,-0.189141586,-0.03248015,0.003618365,0.113063276
3.68,9.773131371,,1.584195375,-0.131680742,-0.020773673,-0.011280786,0.106677927
3.7,9.691728592,,1.675175071,-0.10295032,-0.038865499,-0.009152336,0.102421023
3.72,9.619902611,,1.665598273,-0.021547459,-0.056957323,-0.021923037,0.098164126
3.74,9.696516991,,1.804462075,-0.12210393,-0.082498729,-0.020858811,0.081136525
3.76,9.768342972,,1.713482261,0.055066992,-0.11442548,0.001489915,0.087521873
3.78,9.787496567,,1.646444678,-0.064643085,-0.156994477,0.00042569,0.064108923
3.8,9.787496567,,1.780519843,-0.136469141,-0.186792791,-0.000638535,0.051338218
3.82,9.677363396,,1.689540267,-0.098161913,-0.249582067,0.012132166,0.047081318
3.84,9.600749016,,1.636867881,-0.098161913,-0.323013604,0.007875266,0.047081318
3.86,9.653421402,,1.699117064,0.088585809,-0.344298124,-0.009152336,0.033246391
3.88,9.667786598,,1.550676584,0.0646438,-0.343233883,0.020645967,0.017283015
3.9,9.773131371,,1.445331693,0.016759768,-0.296407998,-0.014473462,0.015154566
3.92,9.763554573,,1.483638883,-0.12210393,-0.151673362,0.033416666,0.034310617
3.94,9.572018623,,1.632079482,-0.150834352,-0.162315607,0.024902867,0.084329195
3.96,9.768342972,,1.483638883,-0.27054444,-0.226169109,-0.025115712,0.085393421
3.98,9.615114212,,1.670386672,-0.241814017,-0.323013604,0.047251593,0.110934824
4,9.672574997,90.33333333,1.392659307,-0.155622751,-0.338976979,0.072792999,0.142861575
4.02,9.552865028,,1.26816082,-0.227448806,-0.2889584,0.033416666,0.136476234
4.04,9.672574997,,1.282526016,-0.117315531,-0.19637081,-0.002766985,0.123705521
4.06,9.533711433,,1.636867881,-0.069431491,-0.130388856,-0.026179938,0.105613701
4.08,9.854534149,,2.130073309,0.035913382,-0.205948845,-0.007023886,0.063044697
4.1,9.864110947,,2.082189322,0.275333554,-0.282573074,0.036609344,0.016218789
4.12,9.720458984,,1.914595246,0.035913382,-0.412408531,-0.022987261,-0.013579513
4.14,9.653421402,,1.646444678,-0.064643085,-0.366646856,-0.011280786,0.023668367
4.16,9.581595421,,1.737424254,-0.007182248,-0.407087386,-0.037886415,0.067301594
4.18,9.54807663,,1.818827271,-0.217872009,-0.426243454,-0.021923037,0.117320172
4.2,9.370905876,,2.015151501,-0.222660407,-0.449656397,-0.002766985,0.141797349
4.22,9.184158325,,1.943325639,-0.040701073,-0.4837116,-0.017666137,0.156696498
4.24,9.404424667,,1.842769265,0.126893044,-0.545436621,-0.012345011,0.150311157
4.26,9.500192642,,1.526734591,0.179565474,-0.511381447,0.03235244,0.152439609
4.28,9.385271072,,1.186757922,-0.002393845,-0.424115002,0.038737793,0.167338759
4.3,9.452308655,,1.354351997,-0.184353173,-0.333655864,0.019581743,0.210971981
4.32,9.543288231,,1.790096641,-0.055066284,-0.337912768,0.035545118,0.268440127
4.34,9.370905876,,1.818827271,0.174777076,-0.387931347,0.062150747,0.283339292
4.36,9.35654068,,1.430966496,0.098162621,-0.287894189,0.062150747,0.285467744
4.38,9.399636269,,1.670386672,0.533907294,-0.226169109,0.116426222,0.287596196
4.4,9.581595421,,1.670386672,0.514753699,-0.260224342,0.146224529,0.267375916
4.42,9.481039047,,1.588983774,0.203507498,-0.351747692,0.180279732,0.171595663
4.44,9.519346237,,1.435754895,0.122104645,-0.395380914,0.181343958,0.085393421
4.46,9.514557838,,1.354351997,0.265756756,-0.562464237,0.16325213,0.165210307
4.48,9.572018623,,1.095778227,0.222661123,-0.650794923,0.217527613,0.243962973
4.5,9.481039047,,0.688763976,0.141258255,-0.671015203,0.195178896,0.292917311
4.52,9.576807022,,0.329633683,0.203507498,-0.592262506,0.123875804,0.306752235
4.54,9.528923035,,0.305691689,0.208295897,-0.423050761,0.061086521,0.307816476
4.56,9.490615845,,0.439766973,0.337582797,-0.287894189,0.014260616,0.284403503
4.58,9.327810287,,0.60257268,0.495600134,-0.210205734,-0.007023886,0.311009139
4.6,9.188946724,,0.569053888,0.371101618,-0.233618692,-0.022987261,0.296110004
4.62,9.184158325,,0.406248122,0.490811735,-0.260224342,-0.021923037,0.309944928
4.64,9.102755547,,0.353575677,0.553060949,-0.232554466,-0.008088111,0.317394495
4.66,9.20331192,,0.104578733,0.629675388,-0.118682384,0.00042569,0.344000131
4.68,9.24161911,,0.071059912,0.414197266,0.081391931,-0.002766985,0.374862641
4.7,9.581595421,,0.439766973,0.447716087,0.272952437,0.003618365,0.42488122
4.72,9.911994934,,0.880300164,0.428562462,0.308071882,0.022774419,0.478092492
4.74,10.29027939,,1.249007225,0.342371196,0.066492781,0.023838643,0.594093025
4.76,10.29506779,,0.995221734,0.213084295,-0.203820392,0.147288755,0.667524576
4.78,9.81143856,,0.516381383,0.39983204,-0.246389404,0.215399161,0.65049696
4.8,9.524134636,,0.41582492,0.58657974,-0.248517826,0.165380582,0.562166274
